ibge_code,population
2500734,2251
2500775,8416
2500809,16921
2500908,13542
2501005,20463
2501104,22656
2501153,2116
2501203,7027
2501302,19116
2501351,4029
2501401,9096
2501500,21269
2501534,4964
2501575,8349
2501609,15497
2501708,6065
2501807,97203
2501906,17705
2502003,7349
2502052,3536
2502102,5307
2502151,7136
2502201,2575
2502300,4956
2502409,12022
2502508,17870
2502607,6105
2502706,5287
2502805,14206
2502904,6464
2503001,21955
2503100,5661
2503209,68767
2503308,10305
2503407,3695
2503506,17178
2503555,7199
2503605,7191
2503704,62289
2503753,3205
2503803,6046
2503902,6031
2504009,411807
2504033,6620
2504074,4185
2504108,2687
2504157,7499
2504207,4935
2504306,30684
2504355,4875
2504405,19007
2504504,6658
2504603,25010
2504702,4787
2504801,15441
2504850,1935
2504900,17461
2505006,7832
2505105,20334
2505204,6775
2505238,6356
2505279,5218
2505303,2512
2505352,5370
2505402,8315
2505501,3824
2505600,6528
2505709,10413
2505808,3582
2505907,3539
2506004,33199
2506103,11215
2506202,2989
2506251,8303
2506301,59115
2506400,14127
2506509,3453
2506608,5903
2506707,11848
2506806,18144
2506905,24419
2507002,24828
2507101,18823
2507200,11016
2507309,14450
2507408,7745
2507507,817511
2507606,7976
2507705,18298
2507804,7195
2507903,10793
2508000,9849
2508109,4653
2508208,7737
2508307,27617
2508406,2718
2508505,7265
2508554,4369
2508604,13214
2508703,3999
2508802,5752
2508901,45136
2509008,10972
2509057,8653
2509107,21866
2509156,6654
2509206,13998
2509305,8539
2509339,4515
2509370,2926
2509396,6630
2509404,13261
2509503,5738
2509602,4842
2509701,33433
2509800,9932
2509909,10451
2510006,7286
2510105,10626
2510204,5920
2510303,4959
2510402,6462
2510501,3961
2510600,3046
2510659,1758
2510709,2436
2510808,108192
2510907,12379
2511004,3802
2511103,7899
2511202,28533
2511301,16111
2511400,18720
2511509,11977
2511608,6576
2511707,4955
2511806,10584
2511905,19275
2512002,18708
2512036,3882
2512077,4337
2512101,32802
2512200,4238
2512309,23549
2512408,13741
2512507,44179
2512606,1983
2512705,19798
2512721,6114
2512747,3619
2512754,4541
2512762,4540
2512788,1974
2512804,8541
2512903,24218
2513000,3931
2513109,12131
2513158,6541
2513208,6581
2513307,5871
2513356,3593
2513406,15426
2513505,5129
2513604,6986
2513653,2639
2513703,137349
2513802,4562
2513851,2509
2513901,34344
2513927,4566
2513943,2630
2513968,3097
2513984,3384
2514008,4184
2514107,4415
2514206,7626
2514305,6376
2514404,4656
2514453,5998
2514503,20329
2514552,3950
2514602,3588
2514651,1811
2514701,4147
2514800,3618
2514909,7702
2515005,7410
2515104,11728
2515203,3512
2515302,52804
2515401,10848
2515500,13754
2515609,3131
2515708,2916
2515807,7021
2515906,6068
2515930,5089
2515971,7815
2516003,26227
2516102,15102
2516151,3594
2516201,69723
2516300,17031
2516409,10969
2516508,15441
2516607,14759
2516706,15248
2516755,3081
2516805,9464
2516904,15300
2517001,9911
2517100,2841
2517209,5372
2517407,2255
2600054,100346
2600104,37404
2600203,19810
2600302,25065
2600401,37082
2600500,43686
2600609,14718
2600708,38397
2600807,22984
2600906,22870
2601003,11226
2601052,20733
2601102,84864
2601201,74822
2601300,14510
2601409,42764
2601508,12122
2601607,20730
2601706,76687
2601805,12765
2601904,60880
2602001,38378
2602100,48767
2602209,39983
2602308,38117
2602407,8987
2602506,7488
2602605,51225
2602704,13190
2602803,58919
2602902,208944
2603009,34503
2603108,20501
2603207,28904
2603306,11018
2603405,5747
2603454,158899
2603504,18900
2603603,8572
2603702,24773
2603801,20048
2603900,19609
2603926,13025
2604007,84395
2604106,365278
2604155,14368
2604205,43340
2604304,11891
2604403,13556
2604502,21815
2604601,26590
2604700,18268
2604809,12560
2604908,10192
2605004,24173
2605103,37375
2605152,19079
2605202,69292
2605301,31766
2605400,22247
2605459,3101
2605509,12170
2605608,22618
2605707,33184
2605806,15546
2605905,31318
