ibge_code,population,date
2111508,41579,2020
2111532,12735,2020
2111573,4684,2020
2111607,18980,2020
2111631,5131,2020
2111672,6789,2020
2111706,22350,2020
2111722,14096,2020
2111748,11214,2020
2111763,14050,2020
2111789,10299,2020
2111805,18160,2020
2111904,10634,2020
2111953,5676,2020
2112001,8582,2020
2112100,29183,2020
2112209,170222,2020
2112233,22112,2020
2112274,5854,2020
2112308,42040,2020
2112407,35709,2020
2112456,25868,2020
2112506,59398,2020
2112605,33459,2020
2112704,57168,2020
2112803,52649,2020
2112852,13598,2020
2112902,32861,2020
2113009,31522,2020
2114007,51956,2020
2200053,7102,2020
2200103,5131,2020
2200202,17470,2020
2200251,7665,2020
2200277,4918,2020
2200301,14339,2020
2200400,40605,2020
2200459,5445,2020
2200509,17604,2020
2200608,6783,2020
2200707,9938,2020
2200806,3170,2020
2200905,5827,2020
2200954,2551,2020
2201002,4720,2020
2201051,7863,2020
2201101,11326,2020
2201150,11671,2020
2201176,3952,2020
2201200,47185,2020
2201309,3352,2020
2201408,7027,2020
2201507,26905,2020
2201556,4030,2020
2201572,3587,2020
2201606,10473,2020
2201705,5507,2020
2201739,6210,2020
2201770,6815,2020
2201804,4505,2020
2201903,25387,2020
2201919,5651,2020
2201929,5685,2020
2201945,6426,2020
2201960,8347,2020
2201988,3848,2020
2202000,19807,2020
2202026,8264,2020
2202059,10630,2020
2202075,3573,2020
2202083,7674,2020
2202091,5781,2020
2202109,5620,2020
2202117,5069,2020
2202133,5965,2020
2202174,7311,2020
2202208,46893,2020
2202251,3944,2020
2202307,21258,2020
2202406,11445,2020
2202455,4114,2020
2202505,10964,2020
2202539,5890,2020
2202554,5085,2020
2202604,19715,2020
2202653,5451,2020
2202703,27845,2020
2202711,4899,2020
2202729,6168,2020
2202737,4032,2020
2202752,6516,2020
2202778,7661,2020
2202802,4807,2020
2202851,4685,2020
2202901,26709,2020
2203008,8323,2020
2203107,10444,2020
2203206,11426,2020
2203230,4968,2020
2203255,4459,2020
2203271,5367,2020
2203305,13840,2020
2203354,7029,2020
2203404,6922,2020
2203420,4354,2020
2203453,9565,2020
2203503,14575,2020
2203602,4930,2020
2203701,39848,2020
2203750,5319,2020
2203800,4462,2020
2203859,2560,2020
2203909,60025,2020
2204006,5347,2020
2204105,4323,2020
2204154,3200,2020
2204204,9372,2020
2204303,11659,2020
2204352,5460,2020
2204402,10694,2020
2204501,10497,2020
2204550,4568,2020
2204600,3879,2020
2204659,9457,2020
2204709,15319,2020
2204808,9838,2020
2204907,8566,2020
2205003,11551,2020
2205102,11028,2020
2205151,5729,2020
2205201,19170,2020
2205250,4513,2020
2205276,4875,2020
2205300,4447,2020
2205359,3005,2020
2205409,14376,2020
2205458,5466,2020
2205508,39336,2020
2205516,5485,2020
2205524,5640,2020
2205532,4777,2020
2205540,2858,2020
2205557,8577,2020
2205565,4656,2020
2205573,6777,2020
2205581,4075,2020
2205599,5198,2020
2205607,5283,2020
2205706,30438,2020
2205805,25504,2020
2205854,8342,2020
2205904,5351,2020
2205953,8543,2020
2206001,4547,2020
2206050,6449,2020
2206100,10958,2020
2206209,33833,2020
2206308,1242,2020
2206357,6608,2020
2206407,10564,2020
2206506,7767,2020
2206605,10615,2020
2206654,4530,2020
2206670,6811,2020
2206696,9209,2020
2206704,7322,2020
2206720,8602,2020
2206753,4891,2020
2206803,8723,2020
2206902,6556,2020
2206951,3003,2020
2207009,37085,2020
2207108,2468,2020
2207207,6873,2020
2207306,4126,2020
2207355,3404,2020
2207405,5036,2020
2207504,14587,2020
2207553,3937,2020
2207603,10819,2020
2207702,153482,2020
2207751,4323,2020
2207777,6406,2020
2207793,4065,2020
2207801,20554,2020
2207850,3669,2020
2207900,38778,2020
2207934,2544,2020
2207959,4383,2020
2208007,78431,2020
2208106,12139,2020
2208205,18459,2020
2208304,28874,2020
2208403,63787,2020
2208502,12608,2020
2208551,2720,2020
2208601,3150,2020
2208650,9017,2020
2208700,8796,2020
2208809,17979,2020
2208858,4309,2020
2208874,4488,2020
2208908,7376,2020
2209005,6433,2020
2209104,6247,2020
2209153,4033,2020
2209203,6254,2020
2209302,5882,2020
2209351,4642,2020
2209377,5255,2020
2209401,6441,2020
2209450,2166,2020
2209500,3803,2020
2209559,4451,2020
2209609,2932,2020
2209658,5779,2020
2209708,6420,2020
2209757,3057,2020
2209807,5030,2020
2209856,4614,2020
2209872,6064,2020
2209906,6122,2020
2209955,4848,2020
2209971,8038,2020
2210003,20662,2020
2210052,5354,2020
2210102,3741,2020
2210201,6700,2020
2210300,6371,2020
2210359,4577,2020
2210375,2646,2020
2210383,2454,2020
2210391,3038,2020
2210409,17639,2020
2210508,14324,2020
2210607,34877,2020
2210623,3451,2020
2210631,4303,2020
2210656,10058,2020
2210706,14649,2020
2210805,12746,2020
2210904,4563,2020
2210938,6767,2020
2210953,2929,2020
2210979,2773,2020
2211001,868075,2020
2211100,44569,2020
2211209,21655,2020
2211308,20929,2020
2211357,4938,2020
2211407,4386,2020
2211506,3080,2020
2211605,2952,2020
2211704,4471,2020
2300101,11853,2020
2300150,15036,2020
2300200,63104,2020
2300309,54481,2020
2300408,17493,2020
2300507,11781,2020
2300606,7650,2020
2300705,17196,2020
2300754,43829,2020
2300804,7378,2020
2300903,14672,2020
2301000,80935,2020
2301109,74975,2020
2301208,26535,2020
2301257,10959,2020
2301307,21654,2020
2301406,11802,2020
2301505,7844,2020
2301604,23478,2020
2301703,24610,2020
2301802,6303,2020
2301851,18256,2020
2301901,61228,2020
2301950,22573,2020
2302008,22758,2020
2302057,15044,2020
2302107,35941,2020
2302206,53949,2020
2302305,32722,2020
2302404,54577,2020
2302503,49842,2020
2302602,63907,2020
2302701,27470,2020
2302800,77244,2020
2302909,17786,2020
2303006,22782,2020
2303105,18459,2020
2303204,26987,2020
2303303,18699,2020
2303402,17685,2020
2303501,72232,2020
2303600,20871,2020
2303659,10376,2020
2303709,365212,2020
2303808,25585,2020
2303907,13091,2020
2303931,13565,2020
2303956,20274,2020
2304004,23239,2020
2304103,75159,2020
2304202,133031,2020
2304236,18133,2020
2304251,24977,2020
2304269,9662,2020
2304277,7225,2020
2304285,54337,2020
2304301,19389,2020
2304350,24452,2020
2304400,2686612,2020
2304459,16631,2020
2304509,14134,2020
2304608,7694,2020
2304657,14407,2020
2304707,54962,2020
2304806,4814,2020
2304905,11144,2020
2304954,26290,2020
2305001,40784,2020
2305100,5132,2020
2305209,20053,2020
2305233,68529,2020
2305266,13369,2020
2305308,25082,2020
2305332,12629,2020
2305357,20060,2020
2305407,68162,2020
2305506,103074,2020
2305605,26187,2020
2305654,11596,2020
2305704,12485,2020
2305803,42058,2020
2305902,38114,2020
2306009,14326,2020
2306108,24305,2020
2306207,7866,2020
2306256,38325,2020
2306306,53067,2020
2306405,130539,2020
2306504,20520,2020
2306553,42215,2020
2306603,21836,2020
2306702,18147,2020
2306801,11492,2020
2306900,34636,2020
2307007,33834,2020
2307106,27181,2020
2307205,8130,2020
2307254,20087,2020
2307304,276264,2020
2307403,24892,2020
2307502,31492,2020
2307601,59890,2020
2307635,19864,2020
2307650,229458,2020
2307700,130346,2020
2307809,27595,2020
2307908,11321,2020
2308005,39044,2020
2308104,48168,2020
2308203,15185,2020
2308302,27462,2020
2308351,13142,2020
2308377,13894,2020
2308401,35480,2020
2308500,43858,2020
2308609,17249,2020
2308708,61738,2020
2308807,8779,2020
2308906,22685,2020
2309003,14549,2020
2309102,10941,2020
2309201,15684,2020
2309300,32408,2020
2309409,28673,2020
2309458,25833,2020
2309508,21384,2020
2309607,73188,2020
2309706,84554,2020
2309805,12288,2020
2309904,6549,2020
2310001,9422,2020
2310100,13439,2020
2310209,35304,2020
2310258,32992,2020
2310308,31455,2020
2310407,12252,2020
2310506,43309,2020
2310605,9143,2020
2310704,37900,2020
2310803,16331,2020
2310852,20769,2020
2310902,17086,2020
2310951,11001,2020
2311009,12347,2020
2311108,14958,2020
2311207,11106,2020
2311231,6437,2020
2311264,21166,2020
2311306,88321,2020
2311355,16147,2020
2311405,81778,2020
2311504,22293,2020
2311603,29146,2020
2311702,18385,2020
2311801,78882,2020
2311900,15788,2020
2311959,16635,2020
2312007,32654,2020
2312106,17712,2020
2312205,43711,2020
2312304,48131,2020
2312403,48869,2020
2312502,7601,2020
2312601,13044,2020
2312700,25456,2020
2312809,7691,2020
2312908,210711,2020
2313005,18357,2020
2313104,30807,2020
2313203,26225,2020
2313252,8573,2020
2313302,59062,2020
2313351,19371,2020
